latitude,longitude,altitude_ft
51.6227,0.0997,15997.37584
51.6215,0.0988,15997.37584
51.6208,0.0983,15997.37584
51.6194,0.0973,15997.37584
51.6181,0.0964,15997.37584
51.6168,0.0957,15997.37584
51.6153,0.0949,15997.37584
51.6147,0.0947,15997.37584
51.6133,0.0941,15997.37584
51.6113,0.0935,15997.37584
51.61,0.0932,15997.37584
51.6089,0.0928,15997.37584
51.6077,0.0926,15997.37584
51.6061,0.0925,15997.37584
51.6048,0.0924,15997.37584
51.6032,0.0924,15997.37584
51.602,0.0924,15997.37584
51.6006,0.0925,15997.37584
51.5993,0.0928,15997.37584
51.5985,0.0929,15997.37584
51.5965,0.0934,15997.37584
51.5954,0.0938,15997.37584
51.5942,0.0942,15997.37584
51.5929,0.0947,15997.37584
51.5915,0.0953,15997.37584
51.5903,0.096,15997.37584
51.589,0.0967,15997.37584
51.5877,0.0975,15997.37584
51.5865,0.0984,15997.37584
51.5852,0.0993,15997.37584
51.5843,0.1001,15997.37584
51.5829,0.1013,15997.37584
51.5818,0.1025,15997.37584
51.5796,0.1047,15997.37584
51.5787,0.1059,15997.37584
51.5776,0.1073,15997.37584
51.5765,0.1087,15997.37584
51.5755,0.1102,15997.37584
51.5746,0.1116,15997.37584
51.5736,0.1132,15997.37584
51.5729,0.1146,15997.37584
51.5717,0.1168,15997.37584
51.5701,0.12,15997.37584
51.5693,0.122,15997.37584
51.5686,0.1237,15997.37584
51.5682,0.1248,15997.37584
51.5675,0.1267,15997.37584
51.5669,0.1285,15997.37584
51.5661,0.1312,15997.37584
51.5655,0.1331,15997.37584
51.5651,0.1349,15997.37584
51.5647,0.1368,15997.37584
51.5643,0.1386,15997.37584
51.5638,0.1409,15997.37584
51.5635,0.1431,15997.37584
51.5632,0.145,15997.37584
51.563,0.1471,15997.37584
51.5628,0.1489,15997.37584
51.5626,0.1509,15997.37584
51.5625,0.153,15997.37584
51.5623,0.1555,15997.37584
51.5623,0.1575,15997.37584
51.5623,0.1586,15997.37584
51.5623,0.1617,15997.37584
51.5624,0.1632,15997.37584
51.5625,0.1656,15997.37584
51.5628,0.1717,15997.37584
51.5712,0.2846,15997.37584
51.5716,0.2887,15997.37584
51.5719,0.2907,15997.37584
51.5722,0.2927,15997.37584
51.5724,0.2944,15997.37584
51.5728,0.2963,15997.37584
51.5732,0.2983,15997.37584
51.5736,0.3004,15997.37584
51.574,0.3024,15997.37584
51.5745,0.3044,15997.37584
51.575,0.3063,15997.37584
51.5756,0.3082,15997.37584
51.5761,0.3099,15997.37584
51.5766,0.3116,15997.37584
51.5772,0.3133,15997.37584
51.5778,0.3149,15997.37584
51.5785,0.3168,15997.37584
51.5791,0.3184,15997.37584
51.58,0.3203,15997.37584
51.5808,0.3219,15997.37584
51.5812,0.3228,15997.37584
51.582,0.3244,15997.37584
51.5829,0.326,15997.37584
51.5838,0.3276,15997.37584
51.5846,0.3289,15997.37584
51.5855,0.3303,15997.37584
51.5864,0.3316,15997.37584
51.5875,0.3329,15997.37584
51.5884,0.3341,15997.37584
51.5894,0.3353,15997.37584
51.5905,0.3365,15997.37584
51.5915,0.3376,15997.37584
51.5927,0.3387,15997.37584
51.5936,0.3395,15997.37584
51.5948,0.3406,15997.37584
51.596,0.3415,15997.37584
51.5972,0.3423,15997.37584
51.5984,0.3431,15997.37584
51.5996,0.3438,15997.37584
51.6002,0.3442,15997.37584
51.6016,0.3448,15997.37584
51.6026,0.3453,15997.37584
51.6039,0.3458,15997.37584
51.6056,0.3464,15997.37584
51.6063,0.3465,15997.37584
51.6075,0.3468,15997.37584
51.6087,0.3471,15997.37584
51.6104,0.3473,15997.37584
51.611,0.3474,15997.37584
51.6128,0.3474,15997.37584
51.614,0.3474,15997.37584
51.615,0.3473,15997.37584
51.6162,0.3472,15997.37584
51.6173,0.3471,15997.37584
51.6183,0.3469,15997.37584
51.619,0.3468,15997.37584
51.6207,0.3463,15997.37584
51.622,0.3459,15997.37584
51.6231,0.3455,15997.37584
51.6241,0.3451,15997.37584
51.6257,0.3443,15997.37584
51.627,0.3437,15997.37584
51.6275,0.3433,15997.37584
51.6288,0.3426,15997.37584
51.6299,0.3418,15997.37584
51.6311,0.3409,15997.37584
51.6322,0.3401,15997.37584
51.6334,0.3391,15997.37584
51.6344,0.3381,15997.37584
51.6354,0.3371,15997.37584
51.6365,0.3359,15997.37584
51.6375,0.3349,15997.37584
51.6381,0.3342,15997.37584
51.6392,0.3328,15997.37584
51.6401,0.3316,15997.37584
51.641,0.3303,15997.37584
51.6419,0.329,15997.37584
51.6428,0.3276,15997.37584
51.6437,0.3261,15997.37584
51.6445,0.3246,15997.37584
51.6452,0.3232,15997.37584
51.6467,0.3202,15997.37584
51.6475,0.3185,15997.37584
51.6481,0.3169,15997.37584
51.6487,0.3155,15997.37584
51.6493,0.3138,15997.37584
51.65,0.312,15997.37584
51.6505,0.3103,15997.37584
51.651,0.3085,15997.37584
51.6515,0.3068,15997.37584
51.652,0.305,15997.37584
51.6524,0.3032,15997.37584
51.6529,0.3012,15997.37584
51.6532,0.2992,15997.37584
51.6536,0.2973,15997.37584
51.6539,0.2956,15997.37584
51.6541,0.2934,15997.37584
51.6544,0.2914,15997.37584
51.6545,0.2895,15997.37584
51.6547,0.2871,15997.37584
51.6548,0.2852,15997.37584
51.655,0.2811,15997.37584
51.655,0.2791,15997.37584
51.6549,0.2779,15997.37584
51.6549,0.2757,15997.37584
51.6548,0.2737,15997.37584
51.6545,0.269,15997.37584
51.6459,0.1542,15997.37584
51.6454,0.1502,15997.37584
51.6449,0.1462,15997.37584
51.6445,0.1439,15997.37584
51.6442,0.1419,15997.37584
51.6438,0.14,15997.37584
51.6434,0.1381,15997.37584
51.643,0.1364,15997.37584
51.6424,0.1342,15997.37584
51.642,0.1324,15997.37584
51.6414,0.1304,15997.37584
51.6408,0.1286,15997.37584
51.6402,0.1267,15997.37584
51.6398,0.1257,15997.37584
51.6391,0.1237,15997.37584
51.6383,0.1216,15997.37584
51.6375,0.1197,15997.37584
51.6366,0.1178,15997.37584
51.6358,0.1163,15997.37584
51.635,0.1148,15997.37584
51.6342,0.1133,15997.37584
51.6333,0.1117,15997.37584
51.6322,0.11,15997.37584
51.6312,0.1085,15997.37584
51.6301,0.1071,15997.37584
51.6291,0.1058,15997.37584
51.6282,0.1047,15997.37584
51.6271,0.1035,15997.37584
51.6261,0.1024,15997.37584
51.6249,0.1012,15997.37584
51.6239,0.1003,15997.37584
51.6228,0.0993,15997.37584
51.6215,0.0983,15997.37584
51.6197,0.097,15997.37584
51.6186,0.0963,15997.37584
51.6173,0.0956,15997.37584
51.616,0.0949,15997.37584
51.6146,0.0942,15997.37584
51.6134,0.0938,15997.37584
51.6127,0.0935,15997.37584
51.6113,0.0931,15997.37584
51.6099,0.0927,15997.37584
51.6085,0.0923,15997.37584
51.6071,0.0922,15997.37584
51.6055,0.092,15997.37584
51.6042,0.0919,15997.37584
51.6028,0.0919,15997.37584
51.6015,0.092,15997.37584
51.6002,0.0921,15997.37584
51.5988,0.0923,15997.37584
51.5975,0.0926,15997.37584
51.5962,0.0929,15997.37584
51.595,0.0934,15997.37584
51.5935,0.0939,15997.37584
51.5922,0.0945,15997.37584
51.5914,0.0948,15997.37584
51.59,0.0955,15997.37584
51.5889,0.0962,15997.37584
51.5874,0.0971,15997.37584
51.5862,0.098,15997.37584
51.5846,0.0992,15997.37584
51.5836,0.1001,15997.37584
51.5823,0.1012,15997.37584
51.5812,0.1022,15997.37584
51.58,0.1035,15997.37584
51.579,0.1046,15997.37584
51.578,0.1058,15997.37584
51.5769,0.1072,15000.00048
51.5758,0.1086,15000.00048
51.5749,0.1099,15000.00048
51.574,0.1113,15000.00048
51.5731,0.1128,15000.00048
51.5718,0.115,15000.00048
51.5712,0.116,15000.00048
51.5704,0.1176,15000.00048
51.5696,0.1193,15000.00048
51.5688,0.1212,15000.00048
51.5678,0.1235,15000.00048
51.5672,0.1251,15000.00048
51.5665,0.1269,15000.00048
51.566,0.1286,15000.00048
51.5654,0.1306,15000.00048
51.5647,0.1329,15000.00048
51.5645,0.1339,15000.00048
51.564,0.1361,15000.00048
51.5636,0.1379,15000.00048
51.5632,0.1402,15000.00048
51.5628,0.1424,15000.00048
51.5625,0.1447,15000.00048
51.5622,0.1466,15000.00048
51.562,0.1485,15000.00048
51.5619,0.1504,15000.00048
51.5618,0.1522,15000.00048
51.5617,0.1542,15000.00048
51.5616,0.1572,15000.00048
51.5616,0.1583,15000.00048
51.5616,0.1612,15000.00048
51.5617,0.1632,15000.00048
51.5619,0.1674,15000.00048
51.5704,0.2827,15000.00048
51.5709,0.2885,15000.00048
51.5715,0.2931,15000.00048
51.5718,0.2951,15000.00048
51.5721,0.2969,15000.00048
51.5724,0.2989,15000.00048
51.5728,0.3008,15000.00048
51.5732,0.3026,15000.00048
51.5736,0.3046,15000.00048
51.5741,0.3063,15000.00048
51.5745,0.3081,15000.00048
51.5749,0.3092,15000.00048
51.5755,0.3112,15000.00048
51.576,0.313,15000.00048
51.5766,0.3147,15000.00048
51.5772,0.3164,15000.00048
51.5779,0.3183,15000.00048
51.5786,0.32,15000.00048
51.5793,0.3216,15000.00048
51.5801,0.3233,15000.00048
51.581,0.3252,15000.00048
51.5817,0.3265,15000.00048
51.5826,0.3281,15000.00048
51.5834,0.3294,12998.68808
51.5842,0.3307,12998.68808
51.5851,0.3321,12998.68808
51.5858,0.3332,12998.68808
51.5869,0.3347,12998.68808
51.5879,0.3359,12998.68808
51.5887,0.3369,12998.68808
51.5897,0.3381,12998.68808
51.5908,0.3392,12998.68808
51.5917,0.3401,12998.68808
51.5927,0.3411,12998.68808
51.5941,0.3423,12998.68808
51.5952,0.3432,12998.68808
51.5959,0.3437,12998.68808
51.597,0.3445,12998.68808
51.5982,0.3453,12998.68808
51.5992,0.3458,12998.68808
51.6005,0.3466,12998.68808
51.6017,0.3471,12998.68808
51.6028,0.3476,12998.68808
51.6041,0.3481,12998.68808
51.6053,0.3485,12998.68808
51.6065,0.3488,12998.68808
51.6076,0.3491,12998.68808
51.6087,0.3493,12998.68808
51.6098,0.3494,12998.68808
51.6111,0.3496,12998.68808
51.612,0.3496,12998.68808
51.6131,0.3496,12998.68808
51.6144,0.3496,12998.68808
51.6156,0.3495,12998.68808
51.6167,0.3493,12998.68808
51.6179,0.3491,12998.68808
51.6191,0.3488,12998.68808
51.6203,0.3485,12998.68808
51.6215,0.3481,12998.68808
51.6227,0.3477,12998.68808
51.625,0.3467,12998.68808
51.6259,0.3462,12998.68808
51.6269,0.3457,12998.68808
51.6283,0.3448,12998.68808
51.6294,0.3442,12998.68808
51.6315,0.3426,12998.68808
51.6319,0.3423,12998.68808
51.6332,0.3411,12998.68808
51.6343,0.3402,12998.68808
51.6347,0.3397,12998.68808
51.6366,0.3378,12998.68808
51.6376,0.3367,12998.68808
51.6385,0.3356,12998.68808
51.6393,0.3347,12998.68808
51.6403,0.3334,12998.68808
51.6411,0.3321,12998.68808
51.6422,0.3307,12998.68808
51.6426,0.3299,12998.68808
51.6435,0.3284,12998.68808
51.6443,0.327,12998.68808
51.6451,0.3257,12998.68808
51.6458,0.3242,12998.68808
51.6468,0.3223,12998.68808
51.6474,0.3209,12998.68808
51.6481,0.3192,12998.68808
51.6488,0.3175,12998.68808
51.65,0.3141,12998.68808
51.6509,0.3113,12998.68808
51.6514,0.3096,12998.68808
51.6519,0.3078,12998.68808
51.6525,0.3053,12998.68808
51.6529,0.3035,12998.68808
51.6533,0.3017,12998.68808
51.6536,0.2998,12998.68808
51.6539,0.2979,12998.68808
51.6541,0.2962,12998.68808
51.6542,0.2954,12998.68808
51.6546,0.2923,12998.68808
51.6547,0.2905,12998.68808
51.6549,0.2887,12998.68808
51.655,0.2868,12998.68808
51.655,0.2847,12998.68808
51.6551,0.283,12998.68808
51.6551,0.2812,12998.68808
51.655,0.2793,12998.68808
51.655,0.2773,12998.68808
51.6547,0.2733,12998.68808
51.653,0.2497,12998.68808
51.6462,0.159,12998.68808
51.6457,0.1533,12998.68808
51.6452,0.149,12998.68808
51.6449,0.1469,12998.68808
51.6446,0.145,12998.68808
51.6443,0.1428,12998.68808
51.6439,0.141,12998.68808
51.6435,0.1392,12998.68808
51.6431,0.1376,12998.68808
51.6427,0.1358,12998.68808
51.6422,0.1338,12998.68808
51.6416,0.1318,12998.68808
51.6411,0.13,12998.68808
51.6405,0.1282,12998.68808
51.6396,0.1257,12998.68808
51.6389,0.1242,12998.68808
51.6383,0.1227,12998.68808
51.6377,0.1213,12998.68808
51.6368,0.1195,12998.68808
51.636,0.118,12998.68808
51.6351,0.1164,12998.68808
51.6341,0.1147,12998.68808
51.6333,0.1134,12998.68808
51.6329,0.1128,12998.68808
51.6316,0.1109,12998.68808
51.631,0.1102,12998.68808
51.6295,0.1083,12998.68808
51.6284,0.107,12998.68808
51.6274,0.106,12998.68808
51.6261,0.1047,12998.68808
51.6248,0.1035,12998.68808
51.6242,0.103,12998.68808
51.6228,0.1019,12998.68808
51.6215,0.1009,12998.68808
51.6203,0.1001,12998.68808
51.6192,0.0994,12998.68808
51.6178,0.0987,12998.68808
51.6165,0.0981,12998.68808
51.6152,0.0975,12998.68808
51.6139,0.097,12998.68808
51.6113,0.0963,12998.68808
51.6102,0.0961,12998.68808
51.6089,0.0959,12998.68808
51.6076,0.0958,12998.68808
51.6069,0.0958,12998.68808
51.605,0.0958,12998.68808
51.6026,0.0961,12998.68808
51.6015,0.0963,12998.68808
51.6003,0.0966,12998.68808
